Date,Open,High,Low,Close,Volume
2010-01-04,6.8125,6.830500126,6.657000065,6.695000172,151998000
2010-01-05,6.671500206,6.774000168,6.590499878,6.734499931,177038000
2010-01-06,6.730000019,6.736499786,6.582499981,6.612500191,143576000
2010-01-07,6.600500107,6.616000175,6.440000057,6.5,220604000
2010-01-08,6.527999878,6.684000015,6.451499939,6.676000118,196610000
2010-01-11,6.631000042,6.639999866,6.460499763,6.515500069,175588000
2010-01-12,6.449500084,6.491000175,6.327499866,6.367499828,181926000
2010-01-13,6.394999981,6.485499859,6.287499905,6.455500126,214464000
2010-01-14,6.456999779,6.519000053,6.320000172,6.367499828,195498000
2010-01-15,6.459000111,6.482500076,6.353000164,6.356999874,307530000
2010-01-19,6.315499783,6.400000095,6.216499805,6.38049984,177852000
2010-01-20,6.356500149,6.460000038,6.254000187,6.289000034,181494000
2010-01-21,6.362999916,6.40749979,6.25,6.330999851,199412000
2010-01-22,6.28000021,6.383500099,6.038000107,6.071499825,231378000
2010-01-25,6.105000019,6.113999844,5.906000137,6.015500069,240478000
2010-01-26,6.027999878,6.149000168,5.953000069,5.973999977,191180000
2010-01-27,6.051499844,6.166500092,5.940000057,6.137499809,295306000
2010-01-28,6.22149992,6.360000134,6.139999866,6.301499844,545862000
2010-01-29,6.488500118,6.59250021,6.206999779,6.270500183,589426000
2010-02-01,6.15899992,6.243000031,5.690999985,5.943500042,755488000
2010-02-02,5.939499855,5.948999882,5.71999979,5.906000137,461594000
2010-02-03,5.855999947,5.980500221,5.828000069,5.954999924,248118000
2010-02-04,5.93200016,6.016499996,5.787000179,5.796999931,255680000
2010-02-05,5.794000149,5.882500172,5.704999924,5.86950016,220496000
2010-02-08,5.968999863,6.050000191,5.828000069,5.841499805,197804000
2010-02-09,5.909999847,5.954500198,5.849999905,5.901500225,184460000
2010-02-10,5.900000095,5.930500031,5.800000191,5.868000031,124664000
2010-02-11,5.860499859,6.020999908,5.824999809,6.004499912,166870000
2010-02-12,5.949500084,5.997000217,5.875,5.982999802,161470000
2010-02-16,6.002999783,6.025000095,5.859000206,5.87650013,178654000
2010-02-17,5.853499889,5.856500149,5.777500153,5.815499783,178896000
2010-02-18,5.791999817,5.925499916,5.741000175,5.903999805,196002000
2010-02-19,5.895500183,5.954500198,5.849999905,5.875999928,142312000
