company_name,company_country,company_acquired_on,company_acquired_for,company_used_as,company_acquired_for_million
Sizmek Ad Server and Sizmek Dynamic Creative Optimization,United States,31-05-2019,Undisclosed,,
Bebo,United States,18-06-2019,"2,50,00,000",Twitch Interactive,25
E8 Storage,Israel,31-07-2019,Undisclosed,Amazon Web Services,
IGDB,Sweden,17-09-2019,Undisclosed,Twitch Interactive,
INLT,United States,24-09-2019,Undisclosed,,
Zoox,United States,26-06-2020,"1,20,00,00,000",,1200
Wondery,United States,30-12-2020,"30,00,00,000",Amazon Music,300
Umbra 3D,Finland,,Undisclosed,Amazon Robotics,
Metro-Goldwyn-Mayer,United States,26-05-2021,"8,45,00,00,000",Metro-Goldwyn-Mayer,8450
Art19,United States,24-06-2021,Undisclosed,Amazon Music,
Wickr,United States,25-06-2021,Undisclosed,Amazon Web Services,
Veeqo,United Kingdom,01-11-2021,Undisclosed,,
Strio.AI,United States,07-03-2022,Undisclosed,Zoox,
GlowRoad,India,21-04-2022,Undisclosed,,
One Medical,United States,21-07-2022,"3,90,00,00,000",,3900
iRobot,United States,05-08-2022,"1,42,00,00,000",,1420
Cloostermans,Belgium,09-09-2022,Undisclosed,,
Spirit.ai,United Kingdom,22-11-2022,Undisclosed,Twitch Interactive,
